,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population
53,FIN,4,3.64837954711246,10.2,6.05340806644958,6.25515436426374,2.36751846990305,5.6,50150.0,276654540000.0,0.814,65.0,18.1,20.4,0.231513547045544,0.001061632111671,5517919
54,FRA,4,12.6912520121951,10.6,1.27710188363121,1.2984221669611,5.00619356811468,4.8,41300.0,2776646200000.0,0.765,47.0,105.6,32.7,0.503874605723201,0.00230767567484,67012883
55,GAB,5,26.7091091675127,14.4,2.09986452645034,2.3619771347028,4.69189806161799,6.0,7667.0,16657960228.0,0.453,-0.683331,8.638,,0.0218661040342755,0.0001374831066509,2225728
56,GMB,2,28.7621548971487,20.4,4.95126824587031,4.92756260609449,,1.9,751.0,1763819047.0,0.397,13.5,238.801,15.5,0.0051372470479967,0.0001539312043378,2416664
57,GEO,0,,24.9,1.1909899074819,1.44251920220636,7.72548101075058,5.8,4769.0,17743195770.0,0.614,,57.406,28.8,0.441746977758559,0.0042364649332255,3989175
58,DEU,4,10.8283891778455,12.1,1.25905461461066,1.24590748392113,,10.4,47554.0,3946356600000.0,0.795,51.0,234.7,30.6,0.392740328675484,0.0017914889171498,83019213
59,GHA,5,27.5283075582822,20.8,6.85024275028377,7.17575697960989,0.104259521160552,2.5,2202.0,66983634223.0,0.439,8.0,136.56,3.9,0.0054264570030294,4.69540302665e-05,31072945
60,GRC,1,17.7991874908537,12.4,1.21313248680489,1.21964309978553,7.5846537650736,4.7,20296.0,217962048000.0,0.681,38.5,82.5,43.4,0.451188058406659,0.0030671543057227,10724599
61,GTM,0,22.9135363828921,14.9,1.0588168774754,1.2831310922301,0.306827757293043,10.0,4619.0,76710385879.0,0.46,15.5,167.185,,0.0620996254263122,0.0010987092956644,17915567
62,GIN,2,27.6031346659529,22.4,1.27840873619195,2.24195620464182,,2.4,1064.0,13590281808.0,0.374,10.0,53.446,,0.0028670217269869,3.41892264797e-05,13132792
63,GNB,2,28.1528290875764,20.0,4.32387104317047,6.21599335974935,0.198170933100542,2.4,697.0,1340389410.0,,12.0,69.986,,0.0044695167373137,8.89228545963e-05,1967998
64,GUY,0,27.5347927987805,30.5,4.7650692828908,4.75186613708962,,11.6,5468.0,4280443645.0,0.495,5.733333,3.996,,0.0905323059045793,0.0016260700087342,786559
65,HTI,3,27.1898644716599,26.5,0.262274583603011,0.419634245595547,0.0262222437768871,6.7,754.0,8498981820.0,0.446,19.0,413.735,12.7,0.0029556590627714,7.51587388521e-05,11402533
66,HND,2,26.1844721217039,14.0,7.53119356162304,7.88006582016804,,7.3,2574.0,25095395475.0,0.49,14.633333,88.521,2.0,0.046005758127934,0.0011094835858218,9904608
67,HUN,1,12.2097129847561,23.0,1.72447738786586,1.74832140270983,1.63001342049526,6.9,16166.0,157862996000.0,0.703,47.0,107.1,30.6,0.211858660955006,0.0048511392282791,9772756
68,ISL,5,3.29378471675127,9.1,5.79672476737109,6.05722801562175,4.57034948837443,5.8,66944.0,24188035738.0,0.74,65.0,3.5,14.7,0.575039706883367,0.000596653697152,356991
69,IND,3,26.8607363882114,23.3,1.22801790069212,1.26599186892731,0.764557444804854,10.4,2104.0,2875142314811.0,0.44,22.8,464.149,11.5,0.0322582156142931,0.0003827886387476,1380004385
70,IDN,2,27.8061144949187,26.4,1.26949413777036,1.4997829322759,0.510540648440992,6.3,4135.0,1119190780752.0,0.535,-2.0,150.987,39.4,0.0234081648107459,0.0005770945829939,273523621
71,IRN,0,19.1014723343496,14.8,4.36195735665209,4.71720918382632,0.705540532512117,9.6,5520.0,445345282122.0,0.591,32.0,51.575,11.0,0.0897808891181621,0.0017173226425316,83992953
72,IRQ,0,26.4500809441057,21.3,2.83743261305854,3.54129805882224,0.650123628496852,8.8,5955.0,234094042938.0,0.398,33.0,92.61,,0.061122725256556,0.0006301944958522,40222503
73,IRL,4,10.1435138314721,10.3,1.33648008536514,1.35137275310336,3.04276253338399,3.2,78706.0,382365076000.0,0.806,53.333333,70.9,24.3,0.338612098918487,0.0016110549239025,4904240
74,ITA,4,16.3327940873984,9.5,1.22772851151313,1.29113103227465,4.33728290790757,5.0,34456.0,2083196780000.0,0.769,42.5,202.9,23.7,0.366378219610863,0.0029235475031571,60359546
75,JAM,0,27.3328063882114,14.7,0.877203086338542,0.980443734147434,0.410652717151377,11.3,5582.0,16458071067.0,0.544,18.18,273.422,16.8,0.0509627811523926,0.0011096998778519,2961161
76,JPN,3,17.1135761747967,8.4,1.49644503912312,1.47885252072219,0.488501951373407,5.6,40246.0,5081769542379.0,0.844,35.0,346.934,22.1,0.156574664670005,0.0003413204376738,126476458
77,JOR,1,21.2377322642276,19.2,2.1134077586013,2.21858380133572,2.73687290549519,12.7,4330.0,43743661971.0,0.562,31.2,114.926,,0.170756845441697,0.0013832996508917,10203140
78,KAZ,5,6.69907427263479,26.8,1.30713527434201,1.33198789438017,1.42411526213504,6.1,9731.0,180161741180.0,0.746,48.0,6.955,24.0,0.0789325838657439,0.0010143951226378,18776707
79,KEN,2,21.7973534519427,13.4,0.739852017356406,0.903690379406764,0.0616976940745585,3.1,1816.0,95503088538.0,0.518,0.1,94.478,10.7,0.0062916090925828,0.0001055395722253,53771300
80,KOR,4,13.8590279420732,7.8,1.54177425052181,1.55591882019387,2.27676958328818,6.9,31761.0,1642383217167.0,0.845,36.0,527.298,23.3,0.473275924837733,0.0005396029033659,51269183
81,XKX,1,11.7415067662602,,,,,,,,,42.55,,,0.14439692026311,0.0016935578948262,1883018
