country_name,iso_3166_1_alpha_3,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population_male,population_female,population_rural,population_urban,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,fiscal_measures,international_support,emergency_investment_in_healthcare,investment_in_vaccines
Haiti,HTI,8.920302013422818,0.24630872483221478,2591.1189279731993,64.55704697986577,1161486.2727272727,1187817.5454545454,4934129.0,6328948.0,483162.9090909091,492929.1818181818,453416.2727272727,351181.7272727273,235818.0909090909,161692.9090909091,102829.45454545454,51434.90909090909,16838.727272727272,8498981820.0,754.0,597742.5454545454,211525.42372881356,0.0,61805.359322033895,0.0
Heard Island and McDonald Islands,HMD,,,,,,,,,,,,,,,,,,,,2177227.0,,,,
Honduras,HND,522.3472222222222,13.617424242424242,173068.03914141413,4616.358585858586,505769.4736842105,520991.36842105264,4119684.0,5626433.0,205224.26315789475,212247.2105263158,197404.42105263157,154433.0,109752.84210526316,71240.26315789473,44036.78947368421,21502.42105263158,10919.631578947368,25095395475.0,2574.0,4355938.578947368,705882.3529411765,521.1163575042159,720672.2689075631,0.0
Hong Kong,HKG,22.475982532751093,0.31004366812227074,8051.01018922853,145.80494905385734,3439666.0,4057322.0,0.0,7507400.0,664195.0,552659.0,867629.0,1122165.0,1129130.0,1207906.0,1048881.0,525084.0,379339.0,366029556273.0,48755.0,913110.0,96669957.07575758,0.0,2319058.4966329965,19121.79572763685
Hungary,HUN,2272.7853535353534,55.916666666666664,490981.0416666667,16048.755050505051,4675821.0,5096935.0,2770367.0,6999582.0,927784.0,981009.0,1191157.0,1293534.0,1576171.0,1218271.0,1312208.0,839589.0,433033.0,157862996000.0,16166.0,21335.0,62691859.81151833,0.0,1211350.949477352,25265.443037974685
Iceland,ISL,177.94065656565655,0.08585858585858586,11223.199494949495,22.724747474747474,182837.0,174154.0,22203.0,339110.0,44848.0,44914.0,55484.0,51650.0,45597.0,43927.0,36377.0,21716.0,12478.0,24188035738.0,66944.0,299133.0,3674889.1245791246,0.0,0.0,0.0
India,IND,271.26149075127836,3.2788657823012133,81670.44550645315,1084.6685409309864,39960897.80555555,37017640.13888889,895386226.0,471031528.0,13307997.111111112,14071023.805555556,13345715.055555556,11972754.333333334,9411704.416666666,7118594.305555556,4833246.861111111,2163408.722222222,754093.1388888889,2875142314811.0,2104.0,3807915.0579710146,548946912.026936,2373737.373737374,2128282.8282828284,169538.64583333334
Indonesia,IDN,57.21091162022345,1.5135286701734556,12816.33278268052,401.910381254619,7781347.257142857,7691215.771428571,119115844.0,151509724.0,2730251.4857142856,2618443.1714285715,2477773.4,2343299.285714286,2139324.0,1637635.1714285715,973245.4571428571,421355.17142857146,131456.94285714286,1119190780752.0,4135.0,10058299.545454545,119551047.56397307,0.0,48148.148148148146,448.42119205298013
Iran,IRN,8931.498737373737,173.5340909090909,2350914.897727273,60104.02272727273,42408406.0,41584547.0,20404283.0,62509623.0,14565856.0,11747928.0,12342907.0,16739446.0,11655616.0,8295331.0,5396905.0,2354607.0,894357.0,445345282122.0,5520.0,304938.0,45730583.765567765,0.0,0.0,0.0
Iraq,IRQ,2911.7323232323233,31.6010101010101,901474.0126262626,12320.022727272728,5787164.25,5660751.75,11526415.0,27783368.0,3026758.25,2492334.5,2061581.0,1529882.25,1098043.0,659791.0,360546.0,165350.75,53629.25,234094042938.0,5955.0,2517614.0,876191.2543554007,0.0,225893.49738219896,0.0
Ireland,IRL,1655.435606060606,8.241161616161616,249588.92550505052,3360.0467171717173,2428881.0,2475359.0,1808321.0,3133123.0,668830.0,658265.0,585903.0,729757.0,725606.0,593152.0,469668.0,309235.0,163824.0,382365076000.0,78706.0,7681896.0,37651669.559865095,20922.55892255892,6553613.9461279465,24916.1345177665
Isle of Man,IMN,29.29419191919192,0.10101010101010101,3864.804292929293,37.55681818181818,47027.0,46709.0,39979.0,44605.0,10146.0,10137.0,10876.0,10570.0,12225.0,14013.0,11359.0,8980.0,5428.0,6770532818.0,80989.0,6041206.0,,,,
Israel,ISR,51.68806913692287,0.08824651685625007,8005.251927107202,29.156738052450272,11010.677313677314,10932.42588042588,678907.0,8374393.0,4300.956989247312,3627.206953642384,3084.0380794701987,2861.3544407894738,2636.8239669421487,2059.2659395973155,1849.3032367972742,1270.9052437902483,874.820652173913,395098666121.0,43641.0,1742393.6666666667,50006384.81355932,0.0,7954656.597292724,177777.15113350126
