iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population,international_travel_controls,stay_at_home_requirements,testing_policy,public_information_campaigns,vaccination_policy,facial_coverings,cancel_public_events
GUM,28.031992495951414,,,,2.3121315070784854,18.7,35712.0,5920000000.0,,13.5,312.561,,0.2883524999555642,0.0023343583180770577,168783.0,4.0,0.0,3.0,2.0,5.0,3.0,2.0
GUY,27.534792798780487,30.5,4.765069282890796,4.751866137089623,,11.6,5468.0,4280443645.0,0.495,5.733333,3.996,,0.09053230590457931,0.0016260700087342463,786559.0,4.0,2.0,1.0,2.0,0.0,3.0,2.0
HKG,24.00250925101626,,1.5833094408520068,1.6228223066957832,,4.5,48755.0,366029556273.0,0.822,22.278333,7139.989,,0.002059627146261939,2.8811570726803883e-05,7496988.0,3.0,1.0,3.0,2.0,5.0,2.0,2.0
HND,26.184472121703855,14.0,7.531193561623035,7.880065820168043,,7.3,2574.0,25095395475.0,0.49,14.633333,88.521,2.0,0.04600575812793399,0.001109483585821872,9904608.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0
HRV,12.593652152284264,16.7,1.0971241676778094,1.1067843772493122,1.2642544385934207,5.4,14868.0,60917594400.0,0.723,45.25,73.2,37.0,0.29978735336385487,0.004125609690877341,4076246.0,3.0,0.0,3.0,2.0,0.0,3.0,1.0
HTI,27.18986447165992,26.5,0.26227458360301126,0.41963424559554735,0.02622224377688712,6.7,754.0,8498981820.0,0.446,19.0,413.735,12.7,0.0029556590627714033,7.515873885214803e-05,11402533.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0
HUN,12.209712984756099,23.0,1.7244773878658626,1.748321402709826,1.6300134204952645,6.9,16166.0,157862996000.0,0.703,47.0,107.1,30.6,0.21185866095500594,0.004851139228279106,9772756.0,4.0,0.0,2.0,2.0,5.0,2.0,2.0
IDN,27.8061144949187,26.4,1.269494137770361,1.499782932275895,0.5105406484409925,6.3,4135.0,1119190780752.0,0.535,-2.0,150.987,39.4,0.023408164810745907,0.0005770945829939858,273523621.0,3.0,2.0,1.0,2.0,0.0,4.0,2.0
IMN,10.422372473096447,,2.986753007680043,2.9361793386126696,,,80989.0,6770532818.0,,54.235,149.179,,0.44698466459685765,0.0013641923040737605,85032.0,[],[],[],[],[],[],[]
IND,26.860736388211382,23.3,1.22801790069212,1.265991868927313,0.7645574448048543,10.4,2104.0,2875142314811.0,0.44,22.8,464.149,11.5,0.03225821561429314,0.000382788638747695,1380004385.0,3.0,2.0,2.0,2.0,0.0,4.0,2.0
IRL,10.143513831472081,10.3,1.3364800853651397,1.351372753103358,3.0427625333839896,3.2,78706.0,382365076000.0,0.806,53.333333,70.9,24.3,0.33861209891848687,0.0016110549239025823,4904240.0,3.0,0.0,2.0,2.0,0.0,3.0,2.0
IRN,19.101472334349594,14.8,4.361957356652088,4.7172091838263235,0.7055405325121173,9.6,5520.0,445345282122.0,0.591,32.0,51.575,11.0,0.0897808891181621,0.0017173226425316896,83992953.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0
