country_name,iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,cumulative_persons_fully_vaccinated,cumulative_persons_vaccinated,cumulative_tested,diabetes_prevalence,elevation_m,gdp_per_capita_usd,gdp_usd,human_capital_index,international_travel_controls,latitude,population_density,smoking_prevalence,stay_at_home_requirements,testing_policy
El Salvador,SLV,26.48596,14.0,2267369.0,2683643.5,637106.44,8.8,542.6,4187.0,27022640000.0,0.501,,13.733761,313.041,9.9,,
Equatorial Guinea,GNQ,27.009283,22.0,134690.23,183776.44,239086.66,6.0,,8131.0,11026775000.0,,,1.5,50.017,,,
Eritrea,ERI,18.893864,23.9,,,,5.1,,,,,4,15.483333,35.113,5.7,2,3
Estonia,EST,6.758543,17.0,463347.75,538768.5,134744.1,4.2,,23246.0,30722304000.0,0.747,,58.642708,30.4,31.3,,
Ethiopia,ETH,20.031776,18.3,,4680487.0,1846394.1,4.3,,857.0,96107660000.0,0.385,2,9.0,114.964,4.4,0,1
Falkland Islands,FLK,6.3831973,,1746.0,1778.5,,,,,,,,-51.75,0.286,,,
Faroe Islands,FRO,7.2553096,,24074.613,28410.922,712331.5,4.7,,58622.0,2833300500.0,,2,61.969944,35.004,,0,3
Fiji,FJI,26.165836,30.6,386472.72,467528.88,106411.14,14.7,,6220.0,5535549000.0,,3,-18.0,49.066,22.6,2,3
Finland,FIN,2.4285562,10.2,2767250.5,3298507.8,3858475.5,5.6,,50150.0,276654560000.0,0.814,3,65.0,18.1,20.4,1,2
France,FRA,12.7914505,10.6,742102.8,853933.1,2033781.2,4.8,922.3333,55873.0,1821309300000.0,0.765,,43.76997,514.3088,32.7,,
French Guiana,GUF,26.272722,,,,,,,,,,,3.99886,3.634,,,
French Polynesia,PYF,27.093658,,82895.96,93758.92,,19.5,,,,,,-17.533333,76.75,,,
French Southern Territories,ATF,,,,,,,,,,,,-43.0,,,,
Gabon,GAB,26.83705,14.4,60509.773,77168.46,1256866.4,6.0,,7667.0,16657960000.0,0.453,3,-0.683331,8.638,,2,3
Gambia,GMB,28.79657,20.4,176065.47,146793.25,112337.47,1.9,,751.0,1763819000.0,0.397,1,13.5,238.801,15.5,0,2
Georgia,GEO,,24.9,636544.1,764961.56,5410713.0,5.8,,4769.0,17743196000.0,0.614,3,,57.406,28.8,0,2
Germany,DEU,9.627513,12.1,6368430.0,7900933.5,46199556.0,10.4,249.74442,45742.35,464277270000.0,0.795,,50.701797,542.7055,30.6,,
Ghana,GHA,27.738522,20.8,1434852.8,1981963.5,849151.44,2.5,,2202.0,66983633000.0,0.439,1,8.0,136.56,3.9,0,3
Gibraltar,GIB,18.340174,,32166.95,33067.613,,,11.0,,,,,36.13775,3369.1,,,
Greece,GRC,16.946226,12.4,4351316.0,4698874.0,11745965.0,4.7,,20296.0,217962050000.0,0.681,3,38.5,82.5,43.4,2,3
Greenland,GRL,-29.122564,,20384.205,27330.672,,2.1,,54470.0,3051626500.0,,4,72.0,0.138,,0,2
Grenada,GRD,27.325188,21.4,20355.125,24974.125,,10.7,,10965.0,1228170400.0,,,12.116667,330.938,,,
Guam,GUM,27.99789,,,,,18.7,,35712.0,5920000000.0,,2,13.5,312.561,,1,3
